,session_key,meeting_key,driver_number,date,position
102,9472,1229,4,2024-03-02T15:21:44.002000+00:00,5
103,9472,1229,16,2024-03-02T15:21:44.002000+00:00,6
104,9472,1229,24,2024-03-02T15:22:17.447000+00:00,16
105,9472,1229,31,2024-03-02T15:22:17.447000+00:00,17
106,9472,1229,18,2024-03-02T15:22:19.385000+00:00,17
107,9472,1229,31,2024-03-02T15:22:19.385000+00:00,18
108,9472,1229,11,2024-03-02T15:23:18.127000+00:00,3
109,9472,1229,55,2024-03-02T15:23:18.127000+00:00,2
110,9472,1229,4,2024-03-02T15:23:22.125000+00:00,4
111,9472,1229,63,2024-03-02T15:23:22.125000+00:00,5
112,9472,1229,16,2024-03-02T15:23:26.832000+00:00,7
113,9472,1229,63,2024-03-02T15:23:26.832000+00:00,6
114,9472,1229,81,2024-03-02T15:23:26.832000+00:00,5
115,9472,1229,14,2024-03-02T15:23:28.001000+00:00,6
116,9472,1229,16,2024-03-02T15:23:28.001000+00:00,8
117,9472,1229,44,2024-03-02T15:23:28.001000+00:00,9
118,9472,1229,63,2024-03-02T15:23:28.001000+00:00,7
119,9472,1229,16,2024-03-02T15:23:29.125000+00:00,9
120,9472,1229,44,2024-03-02T15:23:29.125000+00:00,7
121,9472,1229,63,2024-03-02T15:23:29.125000+00:00,8
122,9472,1229,16,2024-03-02T15:23:30.182000+00:00,10
123,9472,1229,22,2024-03-02T15:23:30.182000+00:00,8
124,9472,1229,63,2024-03-02T15:23:30.182000+00:00,9
125,9472,1229,16,2024-03-02T15:23:32.467000+00:00,11
126,9472,1229,23,2024-03-02T15:23:32.467000+00:00,9
127,9472,1229,63,2024-03-02T15:23:32.467000+00:00,10
128,9472,1229,3,2024-03-02T15:23:37.402000+00:00,10
129,9472,1229,16,2024-03-02T15:23:37.402000+00:00,12
130,9472,1229,20,2024-03-02T15:23:37.402000+00:00,13
131,9472,1229,63,2024-03-02T15:23:37.402000+00:00,11
132,9472,1229,10,2024-03-02T15:23:41.046000+00:00,12
133,9472,1229,16,2024-03-02T15:23:41.046000+00:00,13
134,9472,1229,20,2024-03-02T15:23:41.046000+00:00,14
135,9472,1229,20,2024-03-02T15:23:44.914000+00:00,15
136,9472,1229,77,2024-03-02T15:23:44.914000+00:00,14
137,9472,1229,20,2024-03-02T15:23:54.484000+00:00,16
