,position,driver_number,date,session_key,meeting_key
288,13,63,2023-07-28T11:56:46.940000+00:00,9134,1216
289,16,77,2023-07-28T11:56:46.940000+00:00,9134,1216
290,16,2,2023-07-28T11:59:26.250000+00:00,9134,1216
291,15,24,2023-07-28T11:59:26.250000+00:00,9134,1216
292,14,77,2023-07-28T11:59:26.250000+00:00,9134,1216
293,20,1,2023-07-28T14:45:05.028000+00:00,9135,1216
294,16,2,2023-07-28T14:45:05.028000+00:00,9135,1216
295,9,3,2023-07-28T14:45:05.028000+00:00,9135,1216
296,3,4,2023-07-28T14:45:05.028000+00:00,9135,1216
297,18,10,2023-07-28T14:45:05.028000+00:00,9135,1216
298,5,11,2023-07-28T14:45:05.028000+00:00,9135,1216
299,11,14,2023-07-28T14:45:05.028000+00:00,9135,1216
300,4,16,2023-07-28T14:45:05.028000+00:00,9135,1216
301,17,18,2023-07-28T14:45:05.028000+00:00,9135,1216
302,8,20,2023-07-28T14:45:05.028000+00:00,9135,1216
303,7,22,2023-07-28T14:45:05.028000+00:00,9135,1216
304,6,23,2023-07-28T14:45:05.028000+00:00,9135,1216
305,15,24,2023-07-28T14:45:05.028000+00:00,9135,1216
306,10,27,2023-07-28T14:45:05.028000+00:00,9135,1216
307,19,31,2023-07-28T14:45:05.028000+00:00,9135,1216
308,12,44,2023-07-28T14:45:05.028000+00:00,9135,1216
309,1,55,2023-07-28T14:45:05.028000+00:00,9135,1216
310,13,63,2023-07-28T14:45:05.028000+00:00,9135,1216
311,14,77,2023-07-28T14:45:05.028000+00:00,9135,1216
312,2,81,2023-07-28T14:45:05.028000+00:00,9135,1216
313,10,3,2023-07-28T15:10:03.846000+00:00,9135,1216
314,4,4,2023-07-28T15:10:03.846000+00:00,9135,1216
315,6,11,2023-07-28T15:10:03.846000+00:00,9135,1216
316,12,14,2023-07-28T15:10:03.846000+00:00,9135,1216
317,5,16,2023-07-28T15:10:03.846000+00:00,9135,1216
318,9,20,2023-07-28T15:10:03.846000+00:00,9135,1216
319,8,22,2023-07-28T15:10:03.846000+00:00,9135,1216
320,7,23,2023-07-28T15:10:03.846000+00:00,9135,1216
321,11,27,2023-07-28T15:10:03.846000+00:00,9135,1216
322,13,44,2023-07-28T15:10:03.846000+00:00,9135,1216
323,2,55,2023-07-28T15:10:03.846000+00:00,9135,1216
324,1,63,2023-07-28T15:10:03.846000+00:00,9135,1216
325,3,81,2023-07-28T15:10:03.846000+00:00,9135,1216
326,11,3,2023-07-28T15:10:09.330000+00:00,9135,1216
327,5,4,2023-07-28T15:10:09.330000+00:00,9135,1216
328,7,11,2023-07-28T15:10:09.330000+00:00,9135,1216
329,13,14,2023-07-28T15:10:09.330000+00:00,9135,1216
330,6,16,2023-07-28T15:10:09.330000+00:00,9135,1216
331,10,20,2023-07-28T15:10:09.330000+00:00,9135,1216
332,9,22,2023-07-28T15:10:09.330000+00:00,9135,1216
333,8,23,2023-07-28T15:10:09.330000+00:00,9135,1216
334,12,27,2023-07-28T15:10:09.330000+00:00,9135,1216
335,1,44,2023-07-28T15:10:09.330000+00:00,9135,1216
336,3,55,2023-07-28T15:10:09.330000+00:00,9135,1216
337,2,63,2023-07-28T15:10:09.330000+00:00,9135,1216
338,4,81,2023-07-28T15:10:09.330000+00:00,9135,1216
339,12,3,2023-07-28T15:10:13.970000+00:00,9135,1216
340,6,4,2023-07-28T15:10:13.970000+00:00,9135,1216
341,8,11,2023-07-28T15:10:13.970000+00:00,9135,1216
342,14,14,2023-07-28T15:10:13.970000+00:00,9135,1216
343,7,16,2023-07-28T15:10:13.970000+00:00,9135,1216
344,11,20,2023-07-28T15:10:13.970000+00:00,9135,1216
345,10,22,2023-07-28T15:10:13.970000+00:00,9135,1216
